gene_id	symbol	biotype	description
ENSG00000107929	LARP4B	protein_coding	La ribonucleoprotein 4B
ENSG00000290951		lncRNA	novel transcript
ENSG00000198643	FAM3D	protein_coding	FAM3 metabolism regulating signaling molecule D
ENSG00000105948	IFT56	protein_coding	intraflagellar transport 56
ENSG00000182307	C8orf33	protein_coding	chromosome 8 open reading frame 33
ENSG00000109846	CRYAB	protein_coding	crystallin alpha B
ENSG00000172366	MCRIP2	protein_coding	MAPK regulated corepressor interacting protein 2
ENSG00000144645	OSBPL10	protein_coding	oxysterol binding protein like 10
ENSG00000108468	CBX1	protein_coding	chromobox 1
ENSG00000197646	PDCD1LG2	protein_coding	programmed cell death 1 ligand 2
ENSG00000108588	CCDC47	protein_coding	coiled-coil domain containing 47
ENSG00000149503	INCENP	protein_coding	inner centromere protein
ENSG00000203907	OOEP	protein_coding	oocyte expressed protein
ENSG00000269293	ZSCAN16-AS1	lncRNA	ZSCAN16 antisense RNA 1
ENSG00000091106	NLRC4	protein_coding	NLR family CARD domain containing 4
ENSG00000003393	ALS2	protein_coding	alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000089159	PXN	protein_coding	paxillin
ENSG00000105143	SLC1A6	protein_coding	solute carrier family 1 member 6
ENSG00000141013	DRC4	protein_coding	dynein regulatory complex subunit 4
ENSG00000226067	LINC00623	lncRNA	long intergenic non-protein coding RNA 623
ENSG00000213085	CFAP45	protein_coding	cilia and flagella associated protein 45
ENSG00000177156	TALDO1	protein_coding	transaldolase 1
ENSG00000214736	TOMM6	protein_coding	translocase of outer mitochondrial membrane 6
ENSG00000086015	MAST2	protein_coding	microtubule associated serine/threonine kinase 2
ENSG00000158805	ZNF276	protein_coding	zinc finger protein 276
ENSG00000109103	UNC119	protein_coding	unc-119 lipid binding chaperone
ENSG00000040275	SPDL1	protein_coding	spindle apparatus coiled-coil protein 1
ENSG00000173530	TNFRSF10D	protein_coding	TNF receptor superfamily member 10d
ENSG00000215712	TMEM242	protein_coding	transmembrane protein 242
HPLRG_9d2f02ab638			
ENSG00000120693	SMAD9	protein_coding	SMAD family member 9
ENSG00000152904	GGPS1	protein_coding	geranylgeranyl diphosphate synthase 1
ENSG00000171792	RHNO1	protein_coding	RAD9-HUS1-RAD1 interacting nuclear orphan 1
ENSG00000151632	AKR1C2	protein_coding	aldo-keto reductase family 1 member C2
ENSG00000076706	MCAM	protein_coding	melanoma cell adhesion molecule
ENSG00000010610	CD4	protein_coding	CD4 molecule
ENSG00000138614	INTS14	protein_coding	integrator complex subunit 14
ENSG00000170873	MTSS1	protein_coding	MTSS I-BAR domain containing 1
ENSG00000291300	PRSS30P	lncRNA	serine protease 30, pseudogene
ENSG00000137574	TGS1	protein_coding	trimethylguanosine synthase 1
ENSG00000178764	ZHX2	protein_coding	zinc fingers and homeoboxes 2
ENSG00000132773	TOE1	protein_coding	target of EGR1, exonuclease
ENSG00000162889	MAPKAPK2	protein_coding	MAPK activated protein kinase 2
ENSG00000067225	PKM	protein_coding	pyruvate kinase M1/2
ENSG00000065600	PACC1	protein_coding	proton activated chloride channel 1
ENSG00000291086	LGALS17A	lncRNA	galectin 14 pseudogene
ENSG00000088986	DYNLL1	protein_coding	dynein light chain LC8-type 1
ENSG00000171617	ENC1	protein_coding	ectodermal-neural cortex 1
